Sandwich_id,order_id,Sandwich_name_id,quantity,order_date,order_time,unit_price,total_price,Sandwich_size,Sandwich_category,Sandwich_name,customer_id,discount_amount,order_month,order_month_name,order_year
1,1,hawaiian_m,1,01-01-2015,11:38:36,13.25,13.25,M,Classic,The Hawaiian Sandwich,10581,0.0,1,January,2015
2,2,classic_dlx_m,1,01-01-2015,11:57:40,16.0,16.0,M,Classic,The Classic Deluxe Sandwich,15031,0.8,1,January,2015
3,2,five_cheese_l,1,01-01-2015,11:57:40,18.5,18.5,L,Veggie,The Five Cheese Sandwich,15031,0.0,1,January,2015
4,2,ital_supr_l,1,01-01-2015,11:57:40,20.75,20.75,L,Supreme,The Italian Supreme Sandwich,15031,0.0,1,January,2015
5,2,mexicana_m,1,01-01-2015,11:57:40,16.0,16.0,M,Veggie,The Mexicana Sandwich,15031,0.0,1,January,2015
6,2,thai_ckn_l,1,01-01-2015,11:57:40,20.75,20.75,L,Chicken,The Thai Chicken Sandwich,15031,2.08,1,January,2015
7,3,ital_supr_m,1,01-01-2015,12:12:28,16.5,16.5,M,Supreme,The Italian Supreme Sandwich,14255,0.82,1,January,2015
8,3,prsc_argla_l,1,01-01-2015,12:12:28,20.75,20.75,L,Supreme,The Prosciutto and Arugula Sandwich,14255,0.0,1,January,2015
9,4,ital_supr_m,1,01-01-2015,12:16:31,16.5,16.5,M,Supreme,The Italian Supreme Sandwich,12853,0.0,1,January,2015
10,5,ital_supr_m,1,01-01-2015,12:21:30,16.5,16.5,M,Supreme,The Italian Supreme Sandwich,12815,0.0,1,January,2015
11,6,bbq_ckn_s,1,01-01-2015,12:29:36,12.75,12.75,S,Chicken,The Barbecue Chicken Sandwich,15581,1.28,1,January,2015
12,6,the_greek_s,1,01-01-2015,12:29:36,12.0,12.0,S,Classic,The Greek Sandwich,15581,0.0,1,January,2015
13,7,spinach_supr_s,1,01-01-2015,12:50:37,12.5,12.5,S,Supreme,The Spinach Supreme Sandwich,10559,0.0,1,January,2015
14,8,spinach_supr_s,1,01-01-2015,12:51:37,12.5,12.5,S,Supreme,The Spinach Supreme Sandwich,14533,1.25,1,January,2015
15,9,classic_dlx_s,1,01-01-2015,12:52:01,12.0,12.0,S,Classic,The Classic Deluxe Sandwich,11310,0.6,1,January,2015
16,9,green_garden_s,1,01-01-2015,12:52:01,12.0,12.0,S,Veggie,The Green Garden Sandwich,11310,1.2,1,January,2015
17,9,ital_cpcllo_l,1,01-01-2015,12:52:01,20.5,20.5,L,Classic,The Italian Capocollo Sandwich,11310,3.08,1,January,2015
18,9,ital_supr_l,1,01-01-2015,12:52:01,20.75,20.75,L,Supreme,The Italian Supreme Sandwich,11310,3.11,1,January,2015
19,9,ital_supr_s,1,01-01-2015,12:52:01,12.5,12.5,S,Supreme,The Italian Supreme Sandwich,11310,1.88,1,January,2015
20,9,mexicana_s,1,01-01-2015,12:52:01,12.0,12.0,S,Veggie,The Mexicana Sandwich,11310,1.2,1,January,2015
21,9,spicy_ital_l,1,01-01-2015,12:52:01,20.75,20.75,L,Supreme,The Spicy Italian Sandwich,11310,1.04,1,January,2015
22,9,spin_pesto_l,1,01-01-2015,12:52:01,20.75,20.75,L,Veggie,The Spinach Pesto Sandwich,11310,1.04,1,January,2015
23,9,veggie_veg_s,1,01-01-2015,12:52:01,12.0,12.0,S,Veggie,The Vegetables + Vegetables Sandwich,11310,0.0,1,January,2015
24,10,mexicana_l,1,01-01-2015,13:00:15,20.25,20.25,L,Veggie,The Mexicana Sandwich,10613,2.02,1,January,2015
25,10,southw_ckn_l,1,01-01-2015,13:00:15,20.75,20.75,L,Chicken,The Southwest Chicken Sandwich,10613,2.08,1,January,2015
26,11,bbq_ckn_l,1,01-01-2015,13:02:59,20.75,20.75,L,Chicken,The Barbecue Chicken Sandwich,13423,3.11,1,January,2015
27,11,cali_ckn_l,1,01-01-2015,13:02:59,20.75,20.75,L,Chicken,The California Chicken Sandwich,13423,2.08,1,January,2015
28,11,cali_ckn_m,1,01-01-2015,13:02:59,16.75,16.75,M,Chicken,The California Chicken Sandwich,13423,0.0,1,January,2015
